year,country,grouping,imports_total,exports_total,imports_intra,exports_intra,imports_USA,exports_USA,imports_CAN,exports_CAN,imports_MEX,exports_MEX
1992,MEX,84_85,21179686430,16247722220,15120401936,15192660384,14944615936,14439153920,175786000,753506464,-2,-2
1992,MEX,86,86445944,77146954,71392605,71155326,69726605,70769000,1666000,386326,-1,-1
1992,MEX,87,5749253527,6406436126,4548412234,6091673516,4426433554,5138514092,121978680,953159424,-1,-1
1992,MEX,88_89,1358266549,117923127,935696951,104186000,917947271,103898000,17749680,288000,-2,-2
1992,MEX,90_97,3766583951,2807088809,2988080398,2692178585,2965193787,2561319819,22886611,130858766,-8,-8
1992,MEX,all,140356530443,104927660147,107824801336,88031387736,105810895356,83381417486,2013905980,4649970250,-2,-2
1992,USA,01_05,9680734604,9637432225,3444044261,2184284823,-5,-5,2785837566,971438024,658206695,1212846799
1992,USA,06_15,10001364943,22027237904,2922672344,4819785381,-10,-10,1022681068,2623379371,1899991276,2196406010
1992,USA,16_24,13330468827,14201936728,2913849894,3139424087,-9,-9,2260567628,2201668392,653282266,937755695
1992,USA,25_26,2834123050,2804093569,1315192824,920086034,-2,-2,986795838,721050034,328396986,199036000
1992,USA,2709,42481144905,48375896,10006847217,30330245,-1,-1,5510766592,29089640,4496080625,1240605
1992,USA,28_38,23690118471,36504332259,5255285375,8127739703,-11,-11,4224540149,5659806797,1030745226,2467932906
1992,USA,39_40,12396476497,17357966447,4294362784,8016955313,-2,-2,3248544768,4475784369,1045818016,3541170944
1992,USA,41_43,5329677502,2662479452,387066419,546405363,-3,-3,219516264,209219138,167550155,337186225
1992,USA,44_49,19529187452,21631617853,14207021557,7120083108,-6,-6,13295628847,4675505578,911392710,2444577530
1992,USA,50_63,35658834793,13432668289,2977083082,3996377979,-14,-14,1099477796,1900698788,1877605286,2095679191
1992,USA,64_67,11089670504,854036611,355529959,298594890,-4,-4,98597158,134121882,256932801,164473008
1992,USA,68_71,15123029494,9803764640,2996490521,2554688849,-4,-4,2102171208,1960567038,894319313,594121811
1992,USA,72_83,24363812713,19968497049,9519800322,10050932701,-12,-12,7583878215,5622715626,1935922107,4428217075
1992,USA,84_85,132614609508,135719741270,28422424832,43555760811,-2,-2,13983270912,28611144875,14439153920,14944615936
1992,USA,86,1731769008,523922154,474196840,262791643,-1,-1,403427840,193065038,70769000,69726605
1992,USA,87,70445098241,35960210750,34112272556,22825072323,-1,-1,28973758464,18398638769,5138514092,4426433554
1992,USA,88_89,9725453625,36123796946,2047016624,2564393650,-2,-2,1943118624,1646446379,103898000,917947271
1992,USA,90_97,35427197528,31394919397,5337195310,8427957871,-8,-8,2775875491,5462764084,2561319819,2965193787
1992,USA,all,1029159002797,897868520526,292179867583,286388338941,-2,-2,208798450097,180577443585,83381417486,105810895356
1993,CAN,01_05,1683143405,4349199543,1018190489,2990103541,1015368352,2915112541,-5,-5,2822137,74991000
1993,CAN,06_15,3994755229,5324951117,2927086519,1456777546,2815533398,1268983735,-10,-10,111553121,187793811
1993,CAN,16_24,3918964948,3300506344,2405101396,2694917854,2378481174,2663134297,-9,-9,26620222,31783557
1993,CAN,25_26,1033235041,2402616345,724984139,884205572,714064616,855580572,-2,-2,10919523,28625000
1993,CAN,2709,3447423906,5346081386,177036513,5337690511,15049141,5337690511,-1,-1,161987372,0
1993,CAN,28_38,8563402770,6062143225,6476230033,4565515178,6450386828,4535203278,-11,-11,25843205,30311900
1993,CAN,39_40,5956429043,4345754076,4997937661,3819678854,4986113023,3788910854,-2,-2,11824638,30768000
1993,CAN,41_43,893855010,389124190,227422233,240766737,225306952,236161737,-3,-3,2115281,4605000
1993,CAN,44_49,5538800248,21454604797,4919659736,15315918811,4910047272,15271275807,-6,-6,9612464,44643004
1993,CAN,50_63,5169117431,1719055108,2231424126,1307117272,2188259124,1286902157,-14,-14,43165002,20215115
1993,CAN,64_67,1065023545,149754991,168342443,137387375,159200894,136684375,-4,-4,9141549,703000
1993,CAN,68_71,3280047096,3577863451,2464205330,2629695070,2417772280,2626292839,-4,-4,46433050,3402231
1993,CAN,72_83,8066953116,11000638085,6326965214,8312499101,6278725617,8218448340,-12,-12,48239597,94050761
1993,CAN,84_85,42325720202,19404166071,32981027245,15349427502,32109614641,15131305502,-2,-2,871412604,218122000
1993,CAN,86,250846419,583011740,239276411,452066087,238152444,451160087,-1,-1,1123967,906000
1993,CAN,87,25742443577,35068560221,22293430509,33959519642,21143440323,33862013691,-1,-1,1149990186,97505951
1993,CAN,88_89,1795738291,2205776872,1327915322,1591642430,1326905322,1568258741,-2,-2,1010000,23383689
1993,CAN,90_97,8971684194,3909772346,6250261840,3187214447,6004499992,3157611420,-8,-8,245761848,29603027
1993,CAN,all,276382390125,295096456966,206294403478,236315600734,200550439125,234019630150,-2,-2,5743964353,2295970584
1993,MEX,01_05,1658882281,944406490,1124883529,850242038,1049892529,847419901,74991000,2822137,-5,-5
1993,MEX,06_15,2626606844,2480829693,2185427356,2222987081,1997633545,2111433960,187793811,111553121,-10,-10
1993,MEX,16_24,1491784393,971454023,1082301245,795859113,1050517688,769238891,31783557,26620222,-9,-9
1993,MEX,25_26,266702027,453903829,189367000,229405453,160742000,218485930,28625000,10919523,-2,-2
1993,MEX,2709,2000,6684878926,2000,4559135862,2000,4397148490,0,161987372,-1,-1
1993,MEX,28_38,4158531468,2226834800,2798754293,1079106444,2768442393,1053263239,30311900,25843205,-11,-11
1993,MEX,39_40,4426112530,1551320984,3964271936,1293073630,3933503936,1281248992,30768000,11824638,-2,-2
1993,MEX,41_43,406712106,216064855,315392620,200008273,310787620,197892992,4605000,2115281,-3,-3
